fifgid,fifgname,fifgdefinition,fifgreferences
734,Basalt lithic fragment,The characteristics of lithic fragment are similar to basalt.,"Ulmer-Scholle, Dana S., et al. A color guide to the petrography of sandstones, siltstones, shales and associated rocks. American Association of Petroleum Geologists, 2014."
735,Rhyolite lithic fragment,The characteristics of lithic fragment are similar to rhyolite.,"Ulmer-Scholle, Dana S., et al. A color guide to the petrography of sandstones, siltstones, shales and associated rocks. American Association of Petroleum Geologists, 2014."
736,Andesite lithic fragment,The characteristics of lithic fragment are similar to andesite.,"Ulmer-Scholle, Dana S., et al. A color guide to the petrography of sandstones, siltstones, shales and associated rocks. American Association of Petroleum Geologists, 2014."
737,Granitic lithic fragment,"Based on granite composition (quartz, feldspar, iron-titanium oxide and mica or hornblende).","Ulmer-Scholle, Dana S., et al. A color guide to the petrography of sandstones, siltstones, shales and associated rocks. American Association of Petroleum Geologists, 2014."
738,Gabbro lithic fragment,The characteristics of lithic fragment are similar to gabbro.,"Ulmer-Scholle, Dana S., et al. A color guide to the petrography of sandstones, siltstones, shales and associated rocks. American Association of Petroleum Geologists, 2014."
